race_no,race_name,distance,no,horse,barrier,trainer,jockey,weight,odds,scratched
7,4:40 pm Limitless Lodge Benchmark 64 Handicap,2100m,1,Unavoidable s,8,Matthew Smith,Siena Grima (a-2),63kg,$8,false
7,4:40 pm Limitless Lodge Benchmark 64 Handicap,2100m,2,Scottish Pearl do,7,Annabel & Rob Archibald,Ashley Morgan,60.5kg,$13,false
7,4:40 pm Limitless Lodge Benchmark 64 Handicap,2100m,3,Grandini tcds,3,Rodney Northam,Reece Jones,57.5kg,$4.2,false
7,4:40 pm Limitless Lodge Benchmark 64 Handicap,2100m,4,Monty Be Quick ts(HT),9,Wayne Seelin,William Stanley (a-2),57.5kg,$17,false
7,4:40 pm Limitless Lodge Benchmark 64 Handicap,2100m,6,Sarapo,6,Chris Waller,Jason Collett,57.5kg,$2.2,false
7,4:40 pm Limitless Lodge Benchmark 64 Handicap,2100m,8,Will To Excel dsb,4,James Ponsonby,Winona Costin,55kg,$20,false
7,4:40 pm Limitless Lodge Benchmark 64 Handicap,2100m,9,Mellencamp s,5,Allan Boyle,Jenny Duggan,55kg,$29,false
7,4:40 pm Limitless Lodge Benchmark 64 Handicap,2100m,10,Ring Ahoy s,1,David Hatch,Zac Wadick,55kg,$8,false
7,4:40 pm Limitless Lodge Benchmark 64 Handicap,2100m,11,Prince Is Game dsh,2,Matthew Robinson,Anna Roper,55kg,$29,false
7,4:40 pm Limitless Lodge Benchmark 64 Handicap,2100m,5,Mortlake d,10,Alicia Willick-mc Donald,Rachel King,57.5kg,SCR,true
7,4:40 pm Limitless Lodge Benchmark 64 Handicap,2100m,7,Valentiago s,11,,Peter Snowden,57.5kg,SCR,true
