race_no,race_name,start_time,distance,track,grade,going,rail,no,horse,horse_name,name,barrier,trainer,jockey,weight,odds,scratched
6,3:40 pm Hungerford Hill Wine Country Cup Conditional Benchmark 68 Handicap,3:40 pm,1600m,Newcastle,BM68,Heavy 8 Weather: moderate rain Penetrometer: 0,"+3m 800m - 400m, True Remainder",2,Silver Tempest,Silver Tempest,Silver Tempest,10,Annabel & Rob Archibald,Dylan Gibbons,59kg,$13,false
6,3:40 pm Hungerford Hill Wine Country Cup Conditional Benchmark 68 Handicap,3:40 pm,1600m,Newcastle,BM68,Heavy 8 Weather: moderate rain Penetrometer: 0,"+3m 800m - 400m, True Remainder",3,Deepwater Artist,Deepwater Artist,Deepwater Artist,14,Matthew Kelley,Coriah Keatings (a-3),58kg,$6.5,false
6,3:40 pm Hungerford Hill Wine Country Cup Conditional Benchmark 68 Handicap,3:40 pm,1600m,Newcastle,BM68,Heavy 8 Weather: moderate rain Penetrometer: 0,"+3m 800m - 400m, True Remainder",5,Piccaderro,Piccaderro,Piccaderro,6,Jason Deamer,Chad Schofield,57kg,$11,false
6,3:40 pm Hungerford Hill Wine Country Cup Conditional Benchmark 68 Handicap,3:40 pm,1600m,Newcastle,BM68,Heavy 8 Weather: moderate rain Penetrometer: 0,"+3m 800m - 400m, True Remainder",6,Whateley,Whateley,Whateley,8,Todd Howlett,Rory Hutchings,57kg,$12,false
6,3:40 pm Hungerford Hill Wine Country Cup Conditional Benchmark 68 Handicap,3:40 pm,1600m,Newcastle,BM68,Heavy 8 Weather: moderate rain Penetrometer: 0,"+3m 800m - 400m, True Remainder",7,Christa,Christa,Christa,11,Todd Howlett,Reece Jones,56.5kg,$13,false
6,3:40 pm Hungerford Hill Wine Country Cup Conditional Benchmark 68 Handicap,3:40 pm,1600m,Newcastle,BM68,Heavy 8 Weather: moderate rain Penetrometer: 0,"+3m 800m - 400m, True Remainder",9,Stellar Rhonda,Stellar Rhonda,Stellar Rhonda,13,Matthew Smith,Zac Lloyd,56kg,$3.2,false
6,3:40 pm Hungerford Hill Wine Country Cup Conditional Benchmark 68 Handicap,3:40 pm,1600m,Newcastle,BM68,Heavy 8 Weather: moderate rain Penetrometer: 0,"+3m 800m - 400m, True Remainder",10,Noises,Noises,Noises,16,Scott Singleton Leeshelle,Small A3 (a-3),55.5kg,$34,false
6,3:40 pm Hungerford Hill Wine Country Cup Conditional Benchmark 68 Handicap,3:40 pm,1600m,Newcastle,BM68,Heavy 8 Weather: moderate rain Penetrometer: 0,"+3m 800m - 400m, True Remainder",11,Off The Scale,Off The Scale,Off The Scale,2,Lou Mary,Tom Sherry (a0.5),55.5kg,$11,false
6,3:40 pm Hungerford Hill Wine Country Cup Conditional Benchmark 68 Handicap,3:40 pm,1600m,Newcastle,BM68,Heavy 8 Weather: moderate rain Penetrometer: 0,"+3m 800m - 400m, True Remainder",12,Tanglewood Jimmy,Tanglewood Jimmy,Tanglewood Jimmy,17,Wayne Wilkes,Kerrin McEvoy,55kg,$5.5,false
6,3:40 pm Hungerford Hill Wine Country Cup Conditional Benchmark 68 Handicap,3:40 pm,1600m,Newcastle,BM68,Heavy 8 Weather: moderate rain Penetrometer: 0,"+3m 800m - 400m, True Remainder",13,Omaha Sand,Omaha Sand,Omaha Sand,3,Matthew Smith,Andrew Calder,55kg,$31,false
