record_id,track,race_number,race_name,track_condition,runner_number,runner_name,barrier,jockey,trainer,w_ir,source_file,source_file_modified_at,imported_at,created_at,updated_at,last_source_file,last_source_category,race_id,grade,no,horse_name,name,source
rid_d131e0e88b1c6971,Kembla Grange,3,1:15 pm Mmj Wollongong Super Maiden Plate,Good,8,Tupelo Twist,2,Jessica Taylor,Theresa Bateup,4.3,kembla_grange_2026-07-16_master.csv,2026-07-15T23:55:53.120091+00:00,2026-07-15T23:56:26.580188+00:00,2026-07-15T23:56:26.580188+00:00,2026-07-15T23:56:26.580188+00:00,kembla_grange_2026-07-16_master.csv,generic,R3,Maiden,8,Tupelo Twist,Tupelo Twist,racenet
rid_3dca702e873bda14,Kembla Grange,3,1:15 pm Mmj Wollongong Super Maiden Plate,Good,9,Gemtiki,9,Siena Grima (a-2),Shaun Harvey,7.2,kembla_grange_2026-07-16_master.csv,2026-07-15T23:55:53.120091+00:00,2026-07-15T23:56:26.580188+00:00,2026-07-15T23:56:26.580188+00:00,2026-07-15T23:56:26.580188+00:00,kembla_grange_2026-07-16_master.csv,generic,R3,Maiden,9,Gemtiki,Gemtiki,racenet
rid_e434f0b84c4fa128,Kembla Grange,3,1:15 pm Mmj Wollongong Super Maiden Plate,Good,10,Liyah's Girl,4,Jett Newman (a-2),Matthew Smith,4.2,kembla_grange_2026-07-16_master.csv,2026-07-15T23:55:53.120091+00:00,2026-07-15T23:56:26.580188+00:00,2026-07-15T23:56:26.580188+00:00,2026-07-15T23:56:26.580188+00:00,kembla_grange_2026-07-16_master.csv,generic,R3,Maiden,10,Liyah's Girl,Liyah's Girl,racenet
rid_b2f6f0ef5b07bf52,Kembla Grange,3,1:15 pm Mmj Wollongong Super Maiden Plate,Good,11,Wee Winn,7,Mitch Stapleford (a-1.5),Peter Snowden,7.6,kembla_grange_2026-07-16_master.csv,2026-07-15T23:55:53.120091+00:00,2026-07-15T23:56:26.580188+00:00,2026-07-15T23:56:26.580188+00:00,2026-07-15T23:56:26.580188+00:00,kembla_grange_2026-07-16_master.csv,generic,R3,Maiden,11,Wee Winn,Wee Winn,racenet
rid_0f3a0329bef759a8,Kembla Grange,4,1:55 pm Tbc Distribution Midway 3yo Maiden Handicap,Good,1,Bankrupt,11,Jeff Penza,Lee & Cherie Curtis,,kembla_grange_2026-07-16_master.csv,2026-07-15T23:55:53.120091+00:00,2026-07-15T23:56:26.580188+00:00,2026-07-15T23:56:26.580188+00:00,2026-07-15T23:56:26.580188+00:00,kembla_grange_2026-07-16_master.csv,generic,R4,Maiden,1,Bankrupt,Bankrupt,racenet
rid_45526882185dc47c,Kembla Grange,4,1:55 pm Tbc Distribution Midway 3yo Maiden Handicap,Good,2,Coral Cove,3,Jessica Taylor,Theresa Bateup,,kembla_grange_2026-07-16_master.csv,2026-07-15T23:55:53.120091+00:00,2026-07-15T23:56:26.580188+00:00,2026-07-15T23:56:26.580188+00:00,2026-07-15T23:56:26.580188+00:00,kembla_grange_2026-07-16_master.csv,generic,R4,Maiden,2,Coral Cove,Coral Cove,racenet
rid_a7da4cfd3a9d9824,Kembla Grange,4,1:55 pm Tbc Distribution Midway 3yo Maiden Handicap,Good,3,Pariah Time,7,Dylan Gibbons,Mitchell Beer & George Carpenter,3.5,kembla_grange_2026-07-16_master.csv,2026-07-15T23:55:53.120091+00:00,2026-07-15T23:56:26.580188+00:00,2026-07-15T23:56:26.580188+00:00,2026-07-15T23:56:26.580188+00:00,kembla_grange_2026-07-16_master.csv,generic,R4,Maiden,3,Pariah Time,Pariah Time,racenet
rid_06bd27b5be5de35b,Kembla Grange,4,1:55 pm Tbc Distribution Midway 3yo Maiden Handicap,Good,4,Santarno,6,Tommy Berry,Robert & Luke Price,,kembla_grange_2026-07-16_master.csv,2026-07-15T23:55:53.120091+00:00,2026-07-15T23:56:26.580188+00:00,2026-07-15T23:56:26.580188+00:00,2026-07-15T23:56:26.580188+00:00,kembla_grange_2026-07-16_master.csv,generic,R4,Maiden,4,Santarno,Santarno,racenet
rid_6c16b5b24e5f0476,Kembla Grange,4,1:55 pm Tbc Distribution Midway 3yo Maiden Handicap,Good,5,Stakeholder,13,Rory Hutchings,Tracey Bartley,2.0,kembla_grange_2026-07-16_master.csv,2026-07-15T23:55:53.120091+00:00,2026-07-15T23:56:26.580188+00:00,2026-07-15T23:56:26.580188+00:00,2026-07-15T23:56:26.580188+00:00,kembla_grange_2026-07-16_master.csv,generic,R4,Maiden,5,Stakeholder,Stakeholder,racenet
rid_bb620ec69f3653d2,Kembla Grange,4,1:55 pm Tbc Distribution Midway 3yo Maiden Handicap,Good,6,Wildstone Nature,4,Molly Bourke,Theresa Bateup,,kembla_grange_2026-07-16_master.csv,2026-07-15T23:55:53.120091+00:00,2026-07-15T23:56:26.580188+00:00,2026-07-15T23:56:26.580188+00:00,2026-07-15T23:56:26.580188+00:00,kembla_grange_2026-07-16_master.csv,generic,R4,Maiden,6,Wildstone Nature,Wildstone Nature,racenet
rid_edbbaba619b545bf,Kembla Grange,4,1:55 pm Tbc Distribution Midway 3yo Maiden Handicap,Good,7,Creator Of World,12,Zac Lloyd,Ross McConville,5.2,kembla_grange_2026-07-16_master.csv,2026-07-15T23:55:53.120091+00:00,2026-07-15T23:56:26.580188+00:00,2026-07-15T23:56:26.580188+00:00,2026-07-15T23:56:26.580188+00:00,kembla_grange_2026-07-16_master.csv,generic,R4,Maiden,7,Creator Of World,Creator Of World,racenet
rid_9f2b0e7871133a7c,Kembla Grange,4,1:55 pm Tbc Distribution Midway 3yo Maiden Handicap,Good,8,Written Doll,8,Jay Ford,David Pfieffer,5.0,kembla_grange_2026-07-16_master.csv,2026-07-15T23:55:53.120091+00:00,2026-07-15T23:56:26.580188+00:00,2026-07-15T23:56:26.580188+00:00,2026-07-15T23:56:26.580188+00:00,kembla_grange_2026-07-16_master.csv,generic,R4,Maiden,8,Written Doll,Written Doll,racenet
rid_7014019dc0fc5508,Kembla Grange,4,1:55 pm Tbc Distribution Midway 3yo Maiden Handicap,Good,9,The Agent,1,Winona Costin,Amanda Turner,4.0,kembla_grange_2026-07-16_master.csv,2026-07-15T23:55:53.120091+00:00,2026-07-15T23:56:26.580188+00:00,2026-07-15T23:56:26.580188+00:00,2026-07-15T23:56:26.580188+00:00,kembla_grange_2026-07-16_master.csv,generic,R4,Maiden,9,The Agent,The Agent,racenet
rid_d9ace85acff4c6e1,Kembla Grange,4,1:55 pm Tbc Distribution Midway 3yo Maiden Handicap,Good,10,Enchanted Rose,5,Brock Ryan,Kerry Parker,,kembla_grange_2026-07-16_master.csv,2026-07-15T23:55:53.120091+00:00,2026-07-15T23:56:26.580188+00:00,2026-07-15T23:56:26.580188+00:00,2026-07-15T23:56:26.580188+00:00,kembla_grange_2026-07-16_master.csv,generic,R4,Maiden,10,Enchanted Rose,Enchanted Rose,racenet
rid_289255285acd4907,Kembla Grange,4,1:55 pm Tbc Distribution Midway 3yo Maiden Handicap,Good,11,Pacific Palisades,9,Regan Bayliss,David Pfieffer,,kembla_grange_2026-07-16_master.csv,2026-07-15T23:55:53.120091+00:00,2026-07-15T23:56:26.580188+00:00,2026-07-15T23:56:26.580188+00:00,2026-07-15T23:56:26.580188+00:00,kembla_grange_2026-07-16_master.csv,generic,R4,Maiden,11,Pacific Palisades,Pacific Palisades,racenet
rid_3b6ddc33844ff126,Kembla Grange,4,1:55 pm Tbc Distribution Midway 3yo Maiden Handicap,Good,12,Celestial Grace,10,Siena Grima (a-2),Gary Portelli,4.7,kembla_grange_2026-07-16_master.csv,2026-07-15T23:55:53.120091+00:00,2026-07-15T23:56:26.580188+00:00,2026-07-15T23:56:26.580188+00:00,2026-07-15T23:56:26.580188+00:00,kembla_grange_2026-07-16_master.csv,generic,R4,Maiden,12,Celestial Grace,Celestial Grace,racenet
rid_4d720d09a2e2929a,Kembla Grange,4,1:55 pm Tbc Distribution Midway 3yo Maiden Handicap,Good,13,Quadria,2,,Paul & Martha Cave,,kembla_grange_2026-07-16_master.csv,2026-07-15T23:55:53.120091+00:00,2026-07-15T23:56:26.580188+00:00,2026-07-15T23:56:26.580188+00:00,2026-07-15T23:56:26.580188+00:00,kembla_grange_2026-07-16_master.csv,generic,R4,Maiden,13,Quadria,Quadria,racenet
rid_d4588341580af6e6,Kembla Grange,5,2:35 pm Black Aly Window Tinting Class 1 Handicap,Good,1,Onmalone,3,Andrew Adkins,Gerald Ryan & Sterling Alexiou,3.2,kembla_grange_2026-07-16_master.csv,2026-07-15T23:55:53.120091+00:00,2026-07-15T23:56:26.580188+00:00,2026-07-15T23:56:26.580188+00:00,2026-07-15T23:56:26.580188+00:00,kembla_grange_2026-07-16_master.csv,generic,R5,Class 1,1,Onmalone,Onmalone,racenet
rid_4049e22d13c4f3e6,Kembla Grange,5,2:35 pm Black Aly Window Tinting Class 1 Handicap,Good,2,Skirmish,10,Jay Ford,Kerry Parker,5.7,kembla_grange_2026-07-16_master.csv,2026-07-15T23:55:53.120091+00:00,2026-07-15T23:56:26.580188+00:00,2026-07-15T23:56:26.580188+00:00,2026-07-15T23:56:26.580188+00:00,kembla_grange_2026-07-16_master.csv,generic,R5,Class 1,2,Skirmish,Skirmish,racenet
rid_2126241228ae6539,Kembla Grange,5,2:35 pm Black Aly Window Tinting Class 1 Handicap,Good,3,Cuesta,4,Zac Lloyd,Bjorn Baker,4.6,kembla_grange_2026-07-16_master.csv,2026-07-15T23:55:53.120091+00:00,2026-07-15T23:56:26.580188+00:00,2026-07-15T23:56:26.580188+00:00,2026-07-15T23:56:26.580188+00:00,kembla_grange_2026-07-16_master.csv,generic,R5,Class 1,3,Cuesta,Cuesta,racenet
rid_1878f69e3ddd7493,Kembla Grange,5,2:35 pm Black Aly Window Tinting Class 1 Handicap,Good,4,Tsarevich,6,Molly Bourke,John Sargent,6.5,kembla_grange_2026-07-16_master.csv,2026-07-15T23:55:53.120091+00:00,2026-07-15T23:56:26.580188+00:00,2026-07-15T23:56:26.580188+00:00,2026-07-15T23:56:26.580188+00:00,kembla_grange_2026-07-16_master.csv,generic,R5,Class 1,4,Tsarevich,Tsarevich,racenet
rid_3310e34cb3d2dab6,Kembla Grange,5,2:35 pm Black Aly Window Tinting Class 1 Handicap,Good,5,Call Me Sassy,8,Tommy Berry,David Pfieffer,5.9,kembla_grange_2026-07-16_master.csv,2026-07-15T23:55:53.120091+00:00,2026-07-15T23:56:26.580188+00:00,2026-07-15T23:56:26.580188+00:00,2026-07-15T23:56:26.580188+00:00,kembla_grange_2026-07-16_master.csv,generic,R5,Class 1,5,Call Me Sassy,Call Me Sassy,racenet
