race_no,race_name,start_time,distance,track,grade,going,rail,no,horse,horse_name,name,barrier,trainer,jockey,weight,odds,scratched
6,3:40 pm Affinity Constructions Country Boosted Benchmark 58 Handicap,3:40 pm,1000m,Nowra,BM58,Heavy 8,True,11,Sogeri,Sogeri,Sogeri,6,John Rolfe,Rochelle Wedrat-kroezen (a-2),55kg,$31,false
6,3:40 pm Affinity Constructions Country Boosted Benchmark 58 Handicap,3:40 pm,1000m,Nowra,BM58,Heavy 8,True,1,Dubbo Boy,Dubbo Boy,Dubbo Boy,5,Danny Williams,Dale Cole (a-2),62.5kg,SCR,true
6,3:40 pm Affinity Constructions Country Boosted Benchmark 58 Handicap,3:40 pm,1000m,Nowra,BM58,Heavy 8,True,2,Voltage Lass,Voltage Lass,Voltage Lass,8,,Danielle Seib,61.5kg,SCR,true
6,3:40 pm Affinity Constructions Country Boosted Benchmark 58 Handicap,3:40 pm,1000m,Nowra,BM58,Heavy 8,True,4,Foreign Encounter,Foreign Encounter,Foreign Encounter,2,Danny Williams,Jay Ford,59.5kg,SCR,true
6,3:40 pm Affinity Constructions Country Boosted Benchmark 58 Handicap,3:40 pm,1000m,Nowra,BM58,Heavy 8,True,9,Into The Fire,Into The Fire,Into The Fire,3,Scott Jamieson,Jessica Brookes (a-2),56kg,SCR,true
7,4:15 pm Country Motor Company Benchmark 66 Handicap,4:15 pm,1600m,Nowra,BM66,Heavy 8,True,2,Soul Lady,Soul Lady,Soul Lady,1,Joe Cleary,Keagan Latham,61kg,$3,false
7,4:15 pm Country Motor Company Benchmark 66 Handicap,4:15 pm,1600m,Nowra,BM66,Heavy 8,True,3,Spiritualistic,Spiritualistic,Spiritualistic,11,Mitchell Beer & George Carpenter,Adam Farragher,60kg,$3.3,false
7,4:15 pm Country Motor Company Benchmark 66 Handicap,4:15 pm,1600m,Nowra,BM66,Heavy 8,True,5,Brannum,Brannum,Brannum,12,Theresa Bateup,Amy McLucas,57.5kg,$18,false
7,4:15 pm Country Motor Company Benchmark 66 Handicap,4:15 pm,1600m,Nowra,BM66,Heavy 8,True,6,Lightning Speed,Lightning Speed,Lightning Speed,2,Todd Smart,Sairyn Fawke,57.5kg,$7,false
7,4:15 pm Country Motor Company Benchmark 66 Handicap,4:15 pm,1600m,Nowra,BM66,Heavy 8,True,7,Star Bling,Star Bling,Star Bling,9,Nick Olive,Shaun Guymer,57.5kg,$6.5,false
7,4:15 pm Country Motor Company Benchmark 66 Handicap,4:15 pm,1600m,Nowra,BM66,Heavy 8,True,8,More Mischief,More Mischief,More Mischief,4,Amanda Turner,Winona Costin,56.5kg,$11,false
7,4:15 pm Country Motor Company Benchmark 66 Handicap,4:15 pm,1600m,Nowra,BM66,Heavy 8,True,12,Ulysses Blue,Ulysses Blue,Ulysses Blue,5,Terry Robinson,Jeff Penza,55kg,$7.5,false
7,4:15 pm Country Motor Company Benchmark 66 Handicap,4:15 pm,1600m,Nowra,BM66,Heavy 8,True,1,Missile Leader,Missile Leader,Missile Leader,8,Keith Dryden & Libby Snowden,Jessica Brookes (a-2),62.5kg,SCR,true
7,4:15 pm Country Motor Company Benchmark 66 Handicap,4:15 pm,1600m,Nowra,BM66,Heavy 8,True,4,Kindamagic,Kindamagic,Kindamagic,7,Mitchell Maloney-stone,Blaike McDougall,58kg,SCR,true
7,4:15 pm Country Motor Company Benchmark 66 Handicap,4:15 pm,1600m,Nowra,BM66,Heavy 8,True,9,Sweet Treats,Sweet Treats,Sweet Treats,10,Danielle Seib,Pierre Boudvillain (a1),55kg,SCR,true
7,4:15 pm Country Motor Company Benchmark 66 Handicap,4:15 pm,1600m,Nowra,BM66,Heavy 8,True,10,Beauer,Beauer,Beauer,3,Paul Murray Jean,Van Overmeire,55kg,SCR,true
7,4:15 pm Country Motor Company Benchmark 66 Handicap,4:15 pm,1600m,Nowra,BM66,Heavy 8,True,11,Mamma Mia,Mamma Mia,Mamma Mia,6,John Thompson,Alysha Collett,55kg,SCR,true
