race_no,race_name,start_time,distance,track,grade,going,rail,no,horse,horse_name,name,barrier,trainer,jockey,weight,odds,scratched
6,3:45 pm Asahi Super Dry Handicap,3:45 pm,1100m,Warwick Farm,Handicap,Heavy 8,True,14,Fairway To Heaven,Fairway To Heaven,Fairway To Heaven,13,Michael Freedman,Tim Clark,56kg,SCR,true
6,3:45 pm Asahi Super Dry Handicap,3:45 pm,1100m,Warwick Farm,Handicap,Heavy 8,True,17,Margin Call,Margin Call,Margin Call,11,Ciaron Maher,Adam Farragher,57kg,SCR,true
7,4:20 pm The Agency Real Estate Handicap,4:20 pm,1300m,Warwick Farm,Handicap,Heavy 8,True,2,Island Dream,Island Dream,Island Dream,2,Chris Waller,James McDonald,59.5kg,$11,false
7,4:20 pm The Agency Real Estate Handicap,4:20 pm,1300m,Warwick Farm,Handicap,Heavy 8,True,3,Pimlico,Pimlico,Pimlico,22,Tom Charlton,Zac Lloyd,59.5kg,$6,false
7,4:20 pm The Agency Real Estate Handicap,4:20 pm,1300m,Warwick Farm,Handicap,Heavy 8,True,4,Supermassive,Supermassive,Supermassive,17,Gai Waterhouse & Adrian Bott,Tim Clark,59.5kg,$5,false
7,4:20 pm The Agency Real Estate Handicap,4:20 pm,1300m,Warwick Farm,Handicap,Heavy 8,True,5,Deep Pleasure,Deep Pleasure,Deep Pleasure,14,Mick Price & Michael Kent Jnr,Braith Nock (a-1.5),59kg,$7,false
7,4:20 pm The Agency Real Estate Handicap,4:20 pm,1300m,Warwick Farm,Handicap,Heavy 8,True,6,Rimbaud,Rimbaud,Rimbaud,5,Annabel & Rob Archibald,Mollie Fitzgerald (a-3),59kg,$19,false
7,4:20 pm The Agency Real Estate Handicap,4:20 pm,1300m,Warwick Farm,Handicap,Heavy 8,True,7,John Dory,John Dory,John Dory,3,Chris Waller,Siena Grima (a-3),58.5kg,$21,false
7,4:20 pm The Agency Real Estate Handicap,4:20 pm,1300m,Warwick Farm,Handicap,Heavy 8,True,8,Ornithology,Ornithology,Ornithology,13,Chris Waller,Nash Rawiller,58.5kg,$23,false
7,4:20 pm The Agency Real Estate Handicap,4:20 pm,1300m,Warwick Farm,Handicap,Heavy 8,True,9,Pasadena,Pasadena,Pasadena,1,"Michael, John & Wayne Hawkes",Tyler Schiller,58.5kg,$6,false
7,4:20 pm The Agency Real Estate Handicap,4:20 pm,1300m,Warwick Farm,Handicap,Heavy 8,True,10,Sanctified,Sanctified,Sanctified,15,Gerald Ryan & Sterling Alexiou,Joshua Parr,58.5kg,$10,false
7,4:20 pm The Agency Real Estate Handicap,4:20 pm,1300m,Warwick Farm,Handicap,Heavy 8,True,13,Condone,Condone,Condone,10,Gai Waterhouse & Adrian Bott,Adam Hyeronimus,57.5kg,$7.5,false
7,4:20 pm The Agency Real Estate Handicap,4:20 pm,1300m,Warwick Farm,Handicap,Heavy 8,True,14,Elle Hudson,Elle Hudson,Elle Hudson,18,Joseph Pride,Sam Clipperton,57.5kg,$51,false
7,4:20 pm The Agency Real Estate Handicap,4:20 pm,1300m,Warwick Farm,Handicap,Heavy 8,True,19,Bon Frankie,Bon Frankie,Bon Frankie,8,Aaron Clarke,Amy McLucas,56kg,$31,false
7,4:20 pm The Agency Real Estate Handicap,4:20 pm,1300m,Warwick Farm,Handicap,Heavy 8,True,1,I've Bean Tryin',I've Bean Tryin',I've Bean Tryin',12,Matthew Kelley,Coriah Keatings (a-3),60.5kg,SCR,true
7,4:20 pm The Agency Real Estate Handicap,4:20 pm,1300m,Warwick Farm,Handicap,Heavy 8,True,11,Aye Aye Captain,Aye Aye Captain,Aye Aye Captain,21,Les Bridge,Anna Roper (a-2),58kg,SCR,true
7,4:20 pm The Agency Real Estate Handicap,4:20 pm,1300m,Warwick Farm,Handicap,Heavy 8,True,12,Invader Zim,Invader Zim,Invader Zim,16,Chris Waller,Kerrin McEvoy,58kg,SCR,true
7,4:20 pm The Agency Real Estate Handicap,4:20 pm,1300m,Warwick Farm,Handicap,Heavy 8,True,15,Barbray,Barbray,Barbray,19,Chris Waller,Kerrin McEvoy,57kg,SCR,true
7,4:20 pm The Agency Real Estate Handicap,4:20 pm,1300m,Warwick Farm,Handicap,Heavy 8,True,16,Cheeky Smirk,Cheeky Smirk,Cheeky Smirk,6,Gerald Ryan & Sterling Alexiou,Grant Buckley,57kg,SCR,true
7,4:20 pm The Agency Real Estate Handicap,4:20 pm,1300m,Warwick Farm,Handicap,Heavy 8,True,17,Concordia Wind,Concordia Wind,Concordia Wind,23,,Chris Waller,57kg,SCR,true
7,4:20 pm The Agency Real Estate Handicap,4:20 pm,1300m,Warwick Farm,Handicap,Heavy 8,True,18,Three Arrows,Three Arrows,Three Arrows,9,Tom Charlton,Dylan Gibbons,57kg,SCR,true
7,4:20 pm The Agency Real Estate Handicap,4:20 pm,1300m,Warwick Farm,Handicap,Heavy 8,True,20,Atmospheric Rock,Atmospheric Rock,Atmospheric Rock,20,Danny Williams,Chad Schofield,55.5kg,SCR,true
7,4:20 pm The Agency Real Estate Handicap,4:20 pm,1300m,Warwick Farm,Handicap,Heavy 8,True,21,Eton,Eton,Eton,7,Gai Waterhouse & Adrian Bott,Rachel King,55.5kg,SCR,true
7,4:20 pm The Agency Real Estate Handicap,4:20 pm,1300m,Warwick Farm,Handicap,Heavy 8,True,22,Shezain,Shezain,Shezain,11,Keith Dryden & Libby Snowden,Alysha Collett,54kg,SCR,true
7,4:20 pm The Agency Real Estate Handicap,4:20 pm,1300m,Warwick Farm,Handicap,Heavy 8,True,23,Lady Shenanigans,Lady Shenanigans,Lady Shenanigans,4,Mitchell &,Desiree Kearney,54kg,SCR,true
