race_id,track,race_no,race_title,distance,grade,going,rail,runner_no,no,horse,horse_name,name,barrier,trainer,jockey,odds,w_ir,source
R6,Wyong,6,4:05 pm Pcm Catering & Coolroom Hire Midway Benchmark 64 Handicap,1000m,BM64,Good 4,True,9,9,Cool Blaze,Cool Blaze,Cool Blaze,2,Gary Portelli,Anna Roper,$9.5,3.5,racenet
R6,Wyong,6,4:05 pm Pcm Catering & Coolroom Hire Midway Benchmark 64 Handicap,1000m,BM64,Good 4,True,10,10,Altercation,Altercation,Altercation,12,Jason Deamer,Tim Clark,$9.5,5.4,racenet
R6,Wyong,6,4:05 pm Pcm Catering & Coolroom Hire Midway Benchmark 64 Handicap,1000m,BM64,Good 4,True,12,12,Triple Yes,Triple Yes,Triple Yes,7,Edward Cummings,Jay Ford,$8,3.4,racenet
R7,Wyong,7,4:40 pm Limitless Lodge Benchmark 64 Handicap,2100m,BM64,Good 4,True,1,1,Unavoidable,Unavoidable,Unavoidable,8,Matthew Smith,Siena Grima (a-2),$8,6,racenet
R7,Wyong,7,4:40 pm Limitless Lodge Benchmark 64 Handicap,2100m,BM64,Good 4,True,2,2,Scottish Pearl,Scottish Pearl,Scottish Pearl,7,Annabel & Rob Archibald,Ashley Morgan,$13,3.9,racenet
R7,Wyong,7,4:40 pm Limitless Lodge Benchmark 64 Handicap,2100m,BM64,Good 4,True,3,3,Grandini,Grandini,Grandini,3,Rodney Northam,Reece Jones,$4.2,7.5,racenet
R7,Wyong,7,4:40 pm Limitless Lodge Benchmark 64 Handicap,2100m,BM64,Good 4,True,4,4,Monty Be Quick,Monty Be Quick,Monty Be Quick,9,Wayne Seelin,William Stanley (a-2),$17,3.4,racenet
R7,Wyong,7,4:40 pm Limitless Lodge Benchmark 64 Handicap,2100m,BM64,Good 4,True,6,6,Sarapo,Sarapo,Sarapo,6,Chris Waller,Jason Collett,$2.2,6.7,racenet
R7,Wyong,7,4:40 pm Limitless Lodge Benchmark 64 Handicap,2100m,BM64,Good 4,True,8,8,Will To Excel,Will To Excel,Will To Excel,4,James Ponsonby,Winona Costin,$20,7.8,racenet
R7,Wyong,7,4:40 pm Limitless Lodge Benchmark 64 Handicap,2100m,BM64,Good 4,True,9,9,Mellencamp,Mellencamp,Mellencamp,5,Allan Boyle,Jenny Duggan,$29,3.9,racenet
R7,Wyong,7,4:40 pm Limitless Lodge Benchmark 64 Handicap,2100m,BM64,Good 4,True,10,10,Ring Ahoy,Ring Ahoy,Ring Ahoy,1,David Hatch,Zac Wadick,$8,9.7,racenet
R7,Wyong,7,4:40 pm Limitless Lodge Benchmark 64 Handicap,2100m,BM64,Good 4,True,11,11,Prince Is Game,Prince Is Game,Prince Is Game,2,Matthew Robinson,Anna Roper,$29,8.9,racenet
