race_id,race_title,race_no,runner_no,no,horse,horse_name,name,barrier,trainer,jockey,odds,w_ir
R6,3:25 pm Newgate Class 2 Handicap,6,6,6,Seastraand,Seastraand,Seastraand,5,Annabel & Rob Archibald,Braith Nock,$11,2.1
R6,3:25 pm Newgate Class 2 Handicap,6,7,7,Laizabout,Laizabout,Laizabout,19,Wayne Wilkes,Kody Nestor (a0.5),$26,4.8
R6,3:25 pm Newgate Class 2 Handicap,6,8,8,Pontevedra,Pontevedra,Pontevedra,3,Paul Messara & Leah Gavranich,Aaron Bullock (a0.5),$9.5,6.2
R6,3:25 pm Newgate Class 2 Handicap,6,9,9,Celtic Sin,Celtic Sin,Celtic Sin,18,Tom Charlton,Zac Lloyd,$16,4.2
R6,3:25 pm Newgate Class 2 Handicap,6,10,10,Smart Buy,Smart Buy,Smart Buy,12,Rodney Northam,Tyler Schiller,$26,8.3
R6,3:25 pm Newgate Class 2 Handicap,6,12,12,Oakfield Utah,Oakfield Utah,Oakfield Utah,1,Scott Singleton,Mikayla Weir,$8.5,5.7
R6,3:25 pm Newgate Class 2 Handicap,6,13,13,Brutal Elegance,Brutal Elegance,Brutal Elegance,7,Rodney Northam,Leeshelle Small (a-1.5),$91,4.7
R6,3:25 pm Newgate Class 2 Handicap,6,14,14,Brutal Belle,Brutal Belle,Brutal Belle,4,Luke Pepper,Jason Collett,$6,5.4
R6,3:25 pm Newgate Class 2 Handicap,6,15,15,Yacht Girl,Yacht Girl,Yacht Girl,16,Scott Singleton,Jay Ford,$41,5.9
R6,3:25 pm Newgate Class 2 Handicap,6,16,16,Fan Harder,Fan Harder,Fan Harder,14,Rodney Northam,Reece Jones,$17,4.7
R6,3:25 pm Newgate Class 2 Handicap,6,17,17,Arapawa,Arapawa,Arapawa,8,Brett & Georgie Cavanough,Mitchell Bell,$11,4.7
R6,3:25 pm Newgate Class 2 Handicap,6,18,18,Mischievous Molly,Mischievous Molly,Mischievous Molly,6,,Wayne Wilkes,$151,5.1
R6,3:25 pm Newgate Class 2 Handicap,6,19,19,Magurtz,Magurtz,Magurtz,13,Scott Singleton,Christian Reith,$26,5.9
R6,3:25 pm Newgate Class 2 Handicap,6,20,20,Climate Control,Climate Control,Climate Control,10,,Jeremy Gask,$151,5.3
R7,4:05 pm Arrowfield Big Dance Eligibility Scone Cup,7,1,1,Tavi Time,Tavi Time,Tavi Time,7,Kris Lees,Chad Schofield,$8,8.7
R7,4:05 pm Arrowfield Big Dance Eligibility Scone Cup,7,2,2,Amor Victorious,Amor Victorious,Amor Victorious,2,Bjorn Baker,Joshua Parr,$9,1.3
R7,4:05 pm Arrowfield Big Dance Eligibility Scone Cup,7,3,3,Osipenko,Osipenko,Osipenko,6,Chris Waller,Sam Clipperton,$23,8.1
R7,4:05 pm Arrowfield Big Dance Eligibility Scone Cup,7,5,5,Waterford,Waterford,Waterford,16,Chris Waller,Zac Lloyd,$26,9.4
R7,4:05 pm Arrowfield Big Dance Eligibility Scone Cup,7,6,6,Churchill's Choice,Churchill's Choice,Churchill's Choice,3,Nathan Doyle,Regan Bayliss,$10,9.8
R7,4:05 pm Arrowfield Big Dance Eligibility Scone Cup,7,7,7,Depth Of Character,Depth Of Character,Depth Of Character,15,Annabel & Rob Archibald,Jason Collett,$8.5,8.4
R7,4:05 pm Arrowfield Big Dance Eligibility Scone Cup,7,8,8,Encap,Encap,Encap,11,Gary Portelli,Rachel King,$12,9.2
R7,4:05 pm Arrowfield Big Dance Eligibility Scone Cup,7,9,9,Navajo Peak,Navajo Peak,Navajo Peak,1,Peter Bloomfield,Rory Hutchings,$126,5.9
R7,4:05 pm Arrowfield Big Dance Eligibility Scone Cup,7,10,10,Port Lockroy,Port Lockroy,Port Lockroy,4,Annabel & Rob Archibald,Dylan Gibbons,$21,7.1
R7,4:05 pm Arrowfield Big Dance Eligibility Scone Cup,7,12,12,Hellsing,Hellsing,Hellsing,9,Annabel & Rob Archibald,Tom Sherry,$7.5,3.9
R7,4:05 pm Arrowfield Big Dance Eligibility Scone Cup,7,13,13,Palmetto,Palmetto,Palmetto,14,John Sargent,Alysha Collett,$21,4.5
R7,4:05 pm Arrowfield Big Dance Eligibility Scone Cup,7,15,15,Imperialist,Imperialist,Imperialist,5,Chris Waller,Andrew Adkins,$16,6.1
R7,4:05 pm Arrowfield Big Dance Eligibility Scone Cup,7,17,17,Caboche,Caboche,Caboche,10,Chris Waller,Siena Grima,$81,5.9
R7,4:05 pm Arrowfield Big Dance Eligibility Scone Cup,7,18,18,Formal Display,Formal Display,Formal Display,20,Annabel & Rob Archibald,Braith Nock,$4,2.2
R7,4:05 pm Arrowfield Big Dance Eligibility Scone Cup,7,19,19,Shadizi,Shadizi,Shadizi,8,Chris Waller,Tyler Schiller,$26,7.2
R8,4:40 pm Vinery Country Cup - Benchmark 84 Handicap,8,1,1,Indifference,Indifference,Indifference,3,Brett & Georgie Cavanough,Alysha Collett,$41,6
R8,4:40 pm Vinery Country Cup - Benchmark 84 Handicap,8,2,2,Danish Fortune,Danish Fortune,Danish Fortune,18,Joel Wilkes,Gabrielle Johnston (a-2),$151,4.6
R8,4:40 pm Vinery Country Cup - Benchmark 84 Handicap,8,3,3,Dances With Hooves,Dances With Hooves,Dances With Hooves,8,Cameron Crockett,Ashley Morgan,$13,8.4
